question_id,dataset,method,gold_temporal_rule,gold_answer_type,gold_answer_slot,num_non_temporal_candidates,num_temporal_candidates,constraint_sensitive,trivial,sensitivity_reason,answer_em,answer_f1,answerable,unsupported,wrong_slot
12361,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
1238,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
1244,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
12476,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
12488,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12526,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
12535,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12603,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,0,0.0,1,0,0
12642,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12697,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12707,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
12718,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
12761,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12884,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
12982,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
12987,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
12996,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13032,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
13088,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
1311,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1312,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13125,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
13132,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
13182,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
13335,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13336,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13337,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
13395,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
13425,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
1345,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13476,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
13504,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13513,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
13557,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
13559,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13637,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
13674,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13680,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13696,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
13717,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13734,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1376,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13797,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
13851,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
13877,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
1389,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,0,0.0,1,0,0
13900,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
13961,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
13974,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
14065,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14118,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
14171,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
14181,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14222,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14228,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,0,0.0,0,1,0
14246,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14262,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14275,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14281,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1441,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14525,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14529,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14542,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14571,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
14693,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
14716,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14775,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14833,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
14836,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
14854,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,0,0.0,0,1,0
14897,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
14993,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
15021,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
15030,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15045,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15068,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
15069,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
15105,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
15174,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
1526,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15263,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15282,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15299,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15329,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
15343,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
15382,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1540,CRONQUESTION,full,before_last,entity,target,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
15416,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15468,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15479,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
15510,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15527,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1554,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15549,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,0,0.0,0,1,0
15589,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15590,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15595,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
15645,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
15657,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15680,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1569,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15766,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15808,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15834,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15837,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15923,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
15973,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16030,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16039,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
16053,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1606,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16064,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16122,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16188,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16221,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,0,0.0,0,1,0
16233,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16251,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,0,0.0,0,1,0
16313,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16322,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
16405,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16442,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
16452,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
16459,CRONQUESTION,full,last,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
1647,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16507,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
1653,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16558,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16588,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
16629,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16685,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
16701,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
16702,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
16712,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16747,CRONQUESTION,full,before_last,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
16817,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16901,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
16916,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
1706,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
17096,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
1712,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
17134,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
17238,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
1738,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
17405,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
17409,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
17415,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
17429,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
1745,CRONQUESTION,full,plain,entity,target,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
17494,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
17502,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,0,0.0,1,0,0
17543,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
17567,CRONQUESTION,full,first,time,time,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;multiple_time_answers,1,1.0,1,0,0
17620,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
17650,CRONQUESTION,full,plain,entity,source,1,1,False,True,single_candidate_or_event,0,0.0,0,1,0
17662,CRONQUESTION,full,after_first,entity,source,2,2,True,False,multiple_relation_compatible_candidates;multiple_timestamps;ordering_operator_with_multiple_events;comparator_required,1,1.0,1,0,0
17673,CRONQUESTION,full,when,time,time,1,1,False,True,single_candidate_or_event,1,1.0,1,0,0
